birth_cohort,n,percent_hl
1940s,307,30.944625407166125
1950s,878,21.867881548974943
1960s,883,6.681766704416761
1970s,865,2.6589595375722546
1980s,911,1.756311745334797
1990s,491,1.2219959266802443
